iter	RMSE
0	0.6143238797
1	0.6120480547
2	0.6082545125
3	0.6060428966
4	0.6021165467
5	0.5991291618
6	0.5960282788
7	0.591639717
8	0.5883793463
9	0.5869590754
10	0.5838379543
11	0.5812773099
12	0.5790275666
13	0.5751305232
14	0.5737160754
15	0.5706448096
16	0.5684990741
17	0.5654118785
18	0.5634603937
19	0.5626345119
20	0.5591894067
21	0.5562627162
22	0.5524539861
23	0.5499806435
24	0.5480638643
25	0.5447414324
26	0.5430986776
27	0.5421203219
28	0.538814481
29	0.5379726721
30	0.5346210263
31	0.5319555466
32	0.5296806355
33	0.5267799463
34	0.5261384473
35	0.5250683415
36	0.5233327756
37	0.522796271
38	0.5212438593
39	0.5195980688
40	0.5180330603
41	0.5171335271
42	0.5153353283
43	0.5143661546
44	0.5118810988
45	0.5102932093
46	0.5083802454
47	0.5068881306
48	0.5045435007
49	0.5025648123
50	0.500202721
51	0.4983212471
52	0.4963606089
53	0.4938728147
54	0.4924417682
55	0.4904044036
56	0.4886734095
57	0.4877384404
58	0.4862169211
59	0.4845692576
60	0.4835809644
61	0.4826960204
62	0.4813245188
63	0.4800149445
64	0.4792506499
65	0.4774061176
66	0.4767752079
67	0.476218562
68	0.4750139662
69	0.4739347355
70	0.4730180128
71	0.4715326872
72	0.4708653969
73	0.4689077487
74	0.4677542527
75	0.4673901615
76	0.4668650554
77	0.4658348092
78	0.4640324177
79	0.4629267053
80	0.4619034191
81	0.4595625133
82	0.4588205725
83	0.4576460699
84	0.4569834904
85	0.4556697556
86	0.4543663277
87	0.4535816408
88	0.4527072602
89	0.4516125802
90	0.4494803975
91	0.4487080986
92	0.4474618204
93	0.4463248402
94	0.4445511002
95	0.4413725859
96	0.4411886195
97	0.4392995153
98	0.4381068609
99	0.4367410759
100	0.4360888435
101	0.4351862175
102	0.4344995491
103	0.4335627464
104	0.4319322038
105	0.4305225826
106	0.4298248845
107	0.4296175026
108	0.428365695
109	0.4272148479
110	0.4265639596
111	0.4258555051
112	0.4253300425
113	0.4249304683
114	0.4239705226
115	0.4234684462
116	0.422714142
117	0.4209202455
118	0.4196702354
119	0.4190772069
120	0.4184138351
121	0.4173706331
122	0.4162217521
123	0.4142256486
124	0.4132930606
125	0.41288211
126	0.4121935615
127	0.4104802797
128	0.4085507923
129	0.408077438
130	0.4066503265
131	0.4056511074
132	0.4048997774
133	0.4032698249
134	0.4019197135
135	0.4009994007
136	0.3998253815
137	0.3985595281
138	0.3977999718
139	0.396749348
140	0.3956485606
141	0.3941925156
142	0.3930232987
143	0.3920839898
144	0.3914479655
145	0.3902102232
146	0.3899684936
147	0.3894525301
148	0.3885885049
149	0.3871977997
150	0.386582942
151	0.3853831916
152	0.3847697408
153	0.383923723
154	0.382876206
155	0.3822648768
156	0.3812863942
157	0.3806943897
158	0.3795999356
159	0.3784609941
160	0.3779970331
161	0.3769875919
162	0.3756416904
