iter	Passed	Remaining
0	46	46619
1	46	23400
2	47	15651
3	47	11773
4	47	9446
5	47	7892
6	47	6783
7	47	5950
8	48	5302
9	48	4785
10	48	4361
11	48	4009
12	48	3710
13	49	3453
14	49	3231
15	49	3037
16	49	2866
17	49	2713
18	49	2577
19	50	2454
20	50	2343
21	50	2242
22	50	2150
23	50	2065
24	50	1988
25	51	1916
26	51	1849
27	51	1787
28	51	1730
29	51	1676
30	52	1625
31	52	1578
32	52	1534
33	52	1492
34	52	1453
35	52	1416
36	53	1380
37	53	1347
38	53	1315
39	53	1285
40	53	1257
41	53	1230
42	54	1204
43	54	1179
44	54	1155
45	54	1133
46	54	1111
47	55	1091
48	55	1071
49	55	1052
50	55	1033
51	55	1015
52	55	998
53	56	982
54	56	966
55	56	951
56	56	936
57	56	922
58	56	908
59	57	894
60	57	881
61	57	869
62	57	857
63	57	845
64	57	834
65	58	823
66	58	812
67	58	802
68	58	792
69	58	782
70	59	772
71	59	763
72	59	754
73	59	745
74	59	736
75	59	728
76	60	720
77	60	712
78	60	704
79	60	697
80	60	689
81	60	682
82	61	675
83	61	668
84	61	661
85	61	654
86	61	648
87	61	641
88	62	635
89	62	629
90	62	623
91	62	617
92	62	611
93	62	606
94	63	600
95	63	595
96	63	589
97	63	584
98	63	579
99	63	574
100	64	569
101	64	564
102	64	560
103	64	555
104	64	551
105	64	546
106	64	542
107	65	538
108	65	533
109	65	529
110	65	525
111	65	521
112	65	517
113	66	514
114	66	510
115	66	506
116	66	502
117	66	499
118	66	495
119	67	492
120	67	488
121	67	485
122	67	482
123	67	478
124	67	475
125	68	472
126	68	469
127	68	466
128	68	463
129	68	460
130	68	457
131	69	454
132	69	451
133	69	448
134	69	445
135	69	443
136	69	440
137	70	437
138	70	434
139	70	432
140	70	429
141	70	427
142	70	424
143	70	422
144	71	419
145	71	417
146	71	414
147	71	412
148	71	409
149	71	407
150	72	405
151	72	402
152	72	400
153	72	398
154	72	396
155	72	394
156	73	391
157	73	389
158	73	387
159	73	385
160	73	383
161	73	381
162	73	379
163	74	377
164	74	375
165	74	373
166	74	371
167	74	370
168	74	368
169	75	366
170	75	364
171	75	362
172	75	360
173	75	359
174	75	357
175	75	355
176	76	353
177	76	352
178	76	350
179	76	348
180	76	347
181	76	345
182	77	344
183	77	342
184	77	340
185	77	339
186	77	337
187	77	336
188	78	334
189	78	333
190	78	331
191	78	330
192	78	328
193	78	327
194	78	325
195	79	324
196	79	322
197	79	321
198	79	320
199	79	318
200	79	317
201	80	316
202	80	314
203	80	313
204	80	312
205	80	310
206	80	309
207	80	308
208	81	306
209	81	305
210	81	304
211	81	303
212	81	301
213	81	300
214	82	299
215	82	298
216	82	297
217	82	295
218	82	294
219	82	293
220	82	292
221	83	291
222	83	290
223	83	289
224	83	287
225	83	286
226	83	285
227	84	284
228	84	283
229	84	282
230	84	281
231	84	280
232	84	279
233	84	278
234	85	277
235	85	276
236	85	275
237	85	274
238	85	273
239	85	272
240	86	271
241	86	270
242	86	269
243	86	268
244	86	267
245	86	266
246	87	265
247	87	264
248	87	263
249	87	262
250	87	261
251	87	260
252	87	259
253	88	258
254	88	257
255	88	256
256	88	256
257	88	255
258	88	254
259	89	253
260	89	252
261	89	251
262	89	250
263	89	250
264	89	249
265	90	248
266	90	247
267	90	246
268	90	245
269	90	245
270	90	244
271	90	243
272	91	242
273	91	241
274	91	240
275	91	240
276	91	239
277	91	238
278	92	237
279	92	237
280	92	236
281	92	235
282	92	234
