YEAR,SN,PRECIPITATION,TEMPERATURE,IRI,STATION_ID,AGE,ACCUMULATED_AADTT
1989,6.099999905,1372.800049,12.0,0.8983999966,34_1638,4.0,1190.0
1990,6.099999905,1137.0,13.80000019,0.9420000076,34_1638,5.0,2440.0
1991,6.099999905,1059.800049,13.89999962,0.9394000054,34_1638,6.0,3870.0
1992,6.099999905,921.7000122,12.19999981,0.8991999982,34_1638,7.0,5485.0
1993,6.099999905,1193.599976,12.89999962,0.9227999926,34_1638,8.0,6631.0
1994,6.099999905,1193.0,13.0,0.9606000068,34_1638,9.0,7780.0
1995,6.099999905,1155.8928615285715,13.292857034285714,0.9837333362,34_1638,10.0,8964.0
1996,6.099999905,1155.8928615285715,13.292857034285714,1.0068666656,34_1638,11.0,10183.0
1997,6.099999905,982.9000244,12.69999981,1.029999995,34_1638,12.0,11437.0
1998,6.099999905,880.9000244,14.5,0.999000001,34_1638,13.0,12706.0
1999,6.099999905,1329.800049,13.69999981,1.0277999878,34_1638,14.0,13884.0
2000,6.099999905,1155.8928615285715,13.292857034285714,1.0455000044,34_1638,15.0,15269.0
2001,6.099999905,841.9000244,13.5,1.063200021,34_1638,16.0,16861.0
2002,6.099999905,1150.199951,13.39999962,1.0414999843,34_1638,17.0,18470.0
2003,6.099999905,1448.699951,13.10000038,1.0199999928,34_1638,18.0,20384.0
2004,6.099999905,1461.199951,13.5,1.0307999848,34_1638,19.0,22244.0
2005,6.099999905,1209.0,13.89999962,1.0426000117999998,34_1638,20.0,23944.0
1989,3.299999952,260.7999878,6.099999905,1.2738000156,16_1021,4.0,490.0
1990,3.299999952,232.0,7.199999809,1.2409000159,16_1021,5.0,936.0
1991,3.299999952,319.7000122,6.800000191,1.2485999824,16_1021,6.0,1428.0
1992,3.299999952,239.3999939,7.599999905,1.2782000068,16_1021,7.0,1830.0
1993,3.299999952,430.7000122,5.099999905,1.2416000128,16_1021,8.0,2606.0
1994,3.299999952,308.6000061,7.800000191,1.1898000002,16_1021,9.0,3239.0
1995,3.299999952,476.6000061,7.300000191,1.1972000122000002,16_1021,10.0,3999.0
1996,3.299999952,339.6461557230769,7.0230769012307706,1.2160999934333336,16_1021,11.0,4604.0
1997,3.299999952,429.8999939,7.099999905,1.2349999746666669,16_1021,12.0,5054.0
1998,3.299999952,499.7999878,7.400000095,1.2292000056,16_1021,13.0,5527.0
1999,3.299999952,352.2000122,7.0,1.241599989,16_1021,14.0,6057.0
2000,3.299999952,339.6461557230769,7.0230769012307706,1.2215999961000001,16_1021,15.0,6604.5
2001,3.299999952,227.5,7.099999905,1.2016000032,16_1021,16.0,7169.5
2002,3.299999952,339.6461557230769,7.0230769012307706,1.1879000067,16_1021,17.0,7765.0
2003,3.299999952,229.0,8.199999809,1.1742000102,16_1021,18.0,8391.0
2004,3.299999952,339.6461557230769,7.0230769012307706,1.1703999996,16_1021,19.0,9032.0
2005,3.299999952,409.2000122,6.599999905,1.166599989,16_1021,20.0,9688.0
1989,4.300000191,634.2000122,6.0,1.0314000128,30_1001,7.0,151.0
1990,4.300000191,360.3999939,7.300000191,1.0279000044,30_1001,8.0,323.0
1991,4.300000191,458.7000122,7.5,1.0254000184,30_1001,9.0,478.0
1992,4.300000191,455.1000061,7.699999809,1.0575999976,30_1001,10.0,646.0
1993,4.300000191,772.0,5.5,1.0782000064,30_1001,11.0,818.0
1994,4.300000191,332.8999939,7.699999809,1.1155999898000002,30_1001,12.0,1013.0
1995,4.300000191,633.7999878,6.800000191,1.0815999984000002,30_1001,13.0,1213.0
1996,4.300000191,428.5,4.900000095,1.1272000074,30_1001,14.0,1427.0
1997,4.300000191,504.7999878,7.099999905,1.0960000276,30_1001,15.0,1639.0
1998,4.300000191,457.2999878,7.900000095,1.2565999986,30_1001,16.0,1838.0
1999,4.300000191,385.1000061,8.5,1.1297999858,30_1001,17.0,2027.0
1989,3.200000048,1546.099976,16.20000076,1.0447999716,37_1030,5.0,195.0
1990,3.200000048,1115.300049,17.39999962,1.1028000118,37_1030,6.0,398.0
1991,3.200000048,1397.699951,17.0,1.1042000058,37_1030,7.0,609.0
1992,3.200000048,1226.900024,16.10000038,0.9996000052,37_1030,8.0,818.0
1993,3.200000048,1107.900024,16.39999962,1.0624000072,37_1030,9.0,1037.0
1994,3.200000048,1228.900024,16.60000038,1.1084000112,37_1030,10.0,1235.0
1995,3.200000048,991.5999756,16.39999962,1.154600024,37_1030,11.0,1464.0
1996,3.200000048,1240.2181784000002,16.44545459727273,1.170900011,37_1030,12.0,1712.0
1997,3.200000048,990.2999878,15.69999981,1.187199998,37_1030,13.0,1979.0
1998,3.200000048,1296.699951,16.89999962,1.1636000154,37_1030,14.0,2257.0
1999,3.200000048,1450.699951,16.60000038,1.1697999954,37_1030,15.0,2546.0
2000,3.200000048,1290.300049,15.60000038,1.15,37_1030,16.0,2841.0
1989,8.300000191,1125.199951,7.199999809,0.7237999914,23_1012,4.0,1690.0
1990,8.300000191,1151.0099976,8.000000095299999,0.7381999908,23_1012,5.0,3115.0
1991,8.300000191,1318.400024,8.699999809,0.7525999902,23_1012,6.0,4275.0
1992,8.300000191,960.0999756,7.5,0.7149999856,23_1012,7.0,5485.0
1993,8.300000191,1151.0099976,8.000000095299999,0.7600000023,23_1012,8.0,6730.0
1994,8.300000191,1171.599976,7.900000095,0.8050000190000001,23_1012,9.0,8010.0
1995,8.300000191,1119.0,7.800000191,0.8029999972,23_1012,10.0,9330.0
1996,8.300000191,1151.0099976,8.000000095299999,0.7996999979,23_1012,11.0,10708.5
1997,8.300000191,1062.900024,7.099999905,0.7963999986,23_1012,12.0,12145.5
1998,8.300000191,1415.599976,8.800000191,0.7866000176,23_1012,13.0,13675.5
