STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,ANNUAL_ESAL_TREND,ANNUAL_GESAL_TREND
1,Alabama,4125,1,1977,105759,116103
1,Alabama,4125,1,1981,128469,141013
1,Alabama,4125,1,1972,100928,64780
1,Alabama,4125,1,1974,108847,119474
1,Alabama,4125,1,1975,60641,66569
1,Alabama,4125,1,1978,125805,138108
1,Alabama,4125,1,1973,104299,114521
1,Alabama,4125,1,1976,99054,108763
1,Alabama,4125,1,1980,131442,144295
1,Alabama,4125,1,1979,133740,146839
1,Alabama,1021,1,1994,81070,95383
1,Alabama,4125,1,1987,206696,226909
1,Alabama,4125,1,1989,229056,251468
1,Alabama,4126,1,1989,689000,799367
1,Alabama,4125,1,1990,184000,171259
1,Alabama,4125,1,1982,131436,144292
1,Alabama,4125,1,1985,171908,188717
1,Alabama,1021,1,1989,85071,100023
1,Alabama,4125,1,1984,167086,183426
1,Alabama,1021,1,1988,86676,101915
1,Alabama,4126,1,1990,629000,793040
1,Alabama,1021,1,1986,59371,69753
1,Alabama,1021,1,1987,78592,92408
1,Alabama,1021,1,1990,68386,80407
1,Alabama,4125,1,1983,151526,166347
1,Alabama,1021,1,1985,46271,31844
1,Alabama,4125,1,1986,208955,229406
1,Alabama,4125,1,1988,236319,259454
1,Alabama,4126,1,1988,468750,546622
1,Alabama,1021,1,1993,72365,85070
1,Alabama,4125,1,1994,172375,189335
1,Alabama,4126,1,1994,708000,892518
1,Alabama,1021,1,1992,73156,86029
1,Alabama,1021,1,1991,70346,82722
1,Alabama,4125,1,1993,202000,189716
1,Alabama,4126,1,1993,711000,781553
1,Alabama,4125,1,1991,190000,175728
1,Alabama,4126,1,1991,648000,816512
1,Alabama,1021,1,1996,81988,96385
1,Alabama,4125,1,1992,196000,182068
1,Alabama,4126,1,1992,667000,843347
1,Alabama,4125,1,1998,233000,216516
1,Alabama,4126,1,1998,797000,1004654
1,Alabama,4125,1,1995,214000,197920
1,Alabama,4126,1,1995,729000,919253
1,Alabama,1021,1,1997,84479,99322
1,Alabama,1021,1,1998,86684,101922
1,Alabama,4125,1,1996,220000,204714
1,Alabama,4126,1,1996,751000,949026
1,Alabama,1021,1,1995,78077,91739
1,Alabama,4125,1,1997,227000,210469
1,Alabama,4126,1,1997,773000,974894
1,Alabama,4125,1,2002,263000,243881
1,Alabama,1021,1,2000,91976,4433
1,Alabama,4125,1,2001,255000,236293
1,Alabama,4125,1,1999,240000,222569
1,Alabama,4126,1,1999,820000,1034586
1,Alabama,4125,1,2000,248000,230427
1,Alabama,4126,1,2000,566150,715120
1,Alabama,1021,1,1999,88969,104625
1,Alabama,4125,1,2003,271000,250815
1,Alabama,4125,1,2004,279000,259323
1,Alabama,4125,1,2005,129150,121147
5,Arkansas,3048,1,1981,1185,1190
5,Arkansas,3048,1,1990,24000,21482
5,Arkansas,3048,1,1982,21000,22332
5,Arkansas,3048,1,1985,17082,16741
5,Arkansas,3048,1,1984,15416,15373
5,Arkansas,3048,1,1983,10249,9649
5,Arkansas,3048,1,1988,19698,19354
5,Arkansas,3048,1,1987,17082,16741
5,Arkansas,3048,1,1989,21637,21011
5,Arkansas,3048,1,1986,17936,17591
5,Arkansas,3048,1,1995,26192,29371
5,Arkansas,3048,1,1994,30000,33715
5,Arkansas,3048,1,1993,21000,23423
5,Arkansas,3048,1,1992,26000,26496
5,Arkansas,3048,1,1991,25000,22332
5,Arkansas,3048,1,1996,24551,26074
5,Arkansas,3048,1,1997,33310,31795
5,Arkansas,3048,1,1998,15374,13782
5,Arkansas,3048,1,2001,56000,51562
5,Arkansas,3048,1,1999,42990,38952
5,Arkansas,3048,1,2002,38000,36553
5,Arkansas,3048,1,2000,41966,38153
5,Arkansas,3048,1,2003,43559,37555
5,Arkansas,3048,1,2004,32498,24963
6,California,8151,1,1977,187639,211518
6,California,8201,1,1977,9811,5754
6,California,1253,1,1978,6000,7805
6,California,2004,1,1978,185117,224174
6,California,2647,1,1978,62546,73780
6,California,1253,1,1972,5000,6170
6,California,1253,1,1973,5000,6153
6,California,1253,1,1974,5000,6153
6,California,1253,1,1976,5000,6674
6,California,1253,1,1975,5000,6153
6,California,8151,1,1981,242367,272881
6,California,8201,1,1981,10979,6850
6,California,1253,1,1980,6000,7550
6,California,2004,1,1980,230152,278807
6,California,2647,1,1980,62718,73982
6,California,8201,1,1972,2577,1512
6,California,2004,1,1976,140976,42892
6,California,2647,1,1976,17670,21241
6,California,8151,1,1973,96261,108194
6,California,8201,1,1973,3037,1627
6,California,8151,1,1974,166484,187618
6,California,8201,1,1974,3270,1687
6,California,1253,1,1971,4238,5091
6,California,8151,1,1975,171083,192765
6,California,8201,1,1975,9344,5580
6,California,1253,1,1979,6187,7434
6,California,2004,1,1979,207535,251355
6,California,2647,1,1979,62546,73780
6,California,8151,1,1978,221212,249818
6,California,8201,1,1978,10045,5814
6,California,8151,1,1980,286380,322793
6,California,8201,1,1980,10072,5830
6,California,8151,1,1976,194610,219317
6,California,8201,1,1976,9838,5770
6,California,8201,1,1971,2328,1430
6,California,1253,1,1977,5000,7123
6,California,2004,1,1977,162976,197344
6,California,2647,1,1977,57148,67168
6,California,8151,1,1979,246506,277965
6,California,8201,1,1979,10512,6595
6,California,1253,1,1970,3884,2352
6,California,1253,1,1981,6000,8148
6,California,2004,1,1981,251938,305212
6,California,2647,1,1981,61243,72006
6,California,1253,1,1982,6000,8148
6,California,1253,1,1994,16392,19640
6,California,2004,1,1994,860539,1042086
6,California,2647,1,1994,98660,116684
6,California,1253,1,1985,10000,13942
