VISIT_DATE,CONSTRUCTION_NO,STATE_CODE,STATE_CODE_EXP,VISIT_NO,RUN_NUMBER,SHRP_ID,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI
05-11-1999,1,1,Alabama,01412605,2,4126,1.052000046,0.944999993,,0.998000026
05-11-1999,1,1,Alabama,01412605,1,4126,1.154999971,0.805999994,,0.980000019
06-17-1999,1,1,Alabama,01102105,4,1021,0.989000022,1.281999946,,1.13499999
04-20-1999,1,1,Alabama,01412506,5,4125,1.27699995,1.253000021,,1.264999986
05-11-1999,1,1,Alabama,01412605,4,4126,0.995000005,0.980000019,,0.987999976
12-19-1995,1,1,Alabama,01412505,6,4125,1.110000014,1.15199995,,1.131000042
05-11-1999,1,1,Alabama,01412605,5,4126,1.059999943,0.94599998,,1.003000021
12-19-1995,1,1,Alabama,01412505,9,4125,1.018000007,1.144999981,,1.08099997
05-11-1999,1,1,Alabama,01412605,3,4126,1.075999975,0.967000008,,1.021000028
12-19-1995,1,1,Alabama,01412505,7,4125,1.072000027,1.128000021,,1.100000024
12-19-1995,1,1,Alabama,01412505,8,4125,1.075999975,1.123000026,,1.100000024
02-10-1992,1,1,Alabama,01412602,4,4126,0.862999976,0.818000019,,0.839999974
12-06-1990,1,1,Alabama,01412601,3,4126,0.873000026,0.760999978,,0.816999972
04-03-1992,1,1,Alabama,01102102,1,1021,0.848999977,1.014999986,,0.931999981
12-11-1990,1,1,Alabama,01412502,2,4125,1.049999952,0.880999982,,0.966000021
12-13-1995,1,1,Alabama,01102104,5,1021,0.883000016,1.144000053,,1.014000058
06-06-1990,1,1,Alabama,01102101,5,1021,0.84799999,1.093999982,,0.971000016
06-07-1990,1,1,Alabama,01412501,3,4125,0.944999993,0.924000025,,0.935000002
08-23-1994,1,1,Alabama,01412504,1,4125,1.032999992,1.144999981,,1.088999987
02-10-1992,1,1,Alabama,01412602,3,4126,0.85799998,0.774999976,,0.815999985
01-09-1996,1,1,Alabama,01412604,2,4126,1.023000002,0.882000029,,0.953000009
