STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,PROJECT_LAYER_CODE,DESCRIPTION,DESCRIPTION_EXP,LAYER_TYPE,LAYER_TYPE_EXP,REPR_THICKNESS,MATL_CODE_EXP,MATL_CODE,LAYER_COMMENT1,LAYER_COMMENT1_EXP,LAYER_COMMENT2,LAYER_COMMENT2_EXP,LAYER_COMMENT3,LAYER_COMMENT3_EXP,COMMENT_NOTE,INV_LAYER_NO,INV_LAYER_NO_2,RECORD_STATUS
1,Alabama,1021,1,5,,3,Original Surface Layer,AC,Asphalt concrete layer,25.4,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,6,,E
1,Alabama,4125,1,6,,3,Original Surface Layer,AC,Asphalt concrete layer,20.3,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,6,,E
1,Alabama,4126,1,4,,3,Original Surface Layer,AC,Asphalt concrete layer,35.6,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,6,,E
1,Alabama,1021,1,4,,4,AC Layer Below Surface (Binder Course),AC,Asphalt concrete layer,53.3,"Hot Mixed, Hot Laid AC, Dense Graded",1,Z,Other (Enter description in COMMENT_NOTE field.),,,,,LAYER4 IN INV WAS CODE 71,5,,E
1,Alabama,4126,1,3,,4,AC Layer Below Surface (Binder Course),AC,Asphalt concrete layer,297.2,"Hot Mixed, Hot Laid AC, Dense Graded",1,Z,Other (Enter description in COMMENT_NOTE field.),,,,,ALSO INCLUDES INV LAYERS 4 & 5,3,,E
1,Alabama,4125,1,5,,4,AC Layer Below Surface (Binder Course),AC,Asphalt concrete layer,66.0,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,5,,E
5,Arkansas,3048,1,4,,3,Original Surface Layer,AC,Asphalt concrete layer,48.3,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,4,,E
5,Arkansas,3048,1,3,,4,AC Layer Below Surface (Binder Course),AC,Asphalt concrete layer,73.7,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,3,,E
6,California,1253,1,3,,3,Original Surface Layer,AC,Asphalt concrete layer,91.4,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,3,,E
6,California,2004,1,4,,3,Original Surface Layer,AC,Asphalt concrete layer,86.4,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,4,,E
6,California,2647,1,4,,3,Original Surface Layer,AC,Asphalt concrete layer,94.0,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,4,,E
6,California,8151,1,3,,3,Original Surface Layer,AC,Asphalt concrete layer,104.1,"Hot Mixed, Hot Laid AC, Dense Graded",1,,,,,,,,3,,E
