STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,END_DATE,GPS_SPS,GPS_SPS_EXP,EXPERIMENT_NO,FUNC_CLASS,FUNC_CLASS_EXP,TSI,PAVE_TYPE_ESAL,PAVE_TYPE_ESAL_EXP,SN_VALUE,D_VALUE
1,Alabama,4126,1,08-31-2000,G,General Pavement Studies,1,1,Rural Principal Arterial - Interstate,2.5,1,AC original surface with no overlays,8,
1,Alabama,1021,1,01-14-2000,G,General Pavement Studies,2,6,Rural Minor Arterial,2.5,1,AC original surface with no overlays,5.5,
1,Alabama,4125,1,06-14-2005,G,General Pavement Studies,2,14,Urban Other Principal Arterial,2.5,1,AC original surface with no overlays,4.099999905,
5,Arkansas,3048,1,11-30-2004,G,General Pavement Studies,2,2,Rural Principal Arterial - Other,2.5,1,AC original surface with no overlays,4.199999809,
6,California,2004,1,03-31-1993,G,General Pavement Studies,2,1,Rural Principal Arterial - Interstate,2.5,1,AC original surface with no overlays,5.199999809,
6,California,8151,1,10-30-1992,G,General Pavement Studies,2,1,Rural Principal Arterial - Interstate,2.5,1,AC original surface with no overlays,3.5,
6,California,1253,1,05-31-2011,G,General Pavement Studies,1,2,Rural Principal Arterial - Other,2.5,1,AC original surface with no overlays,4,
6,California,2647,1,05-31-2009,G,General Pavement Studies,2,2,Rural Principal Arterial - Other,2.5,1,AC original surface with no overlays,4.199999809,
6,California,8201,1,12-31-2006,G,General Pavement Studies,2,6,Rural Minor Arterial,2.5,1,AC original surface with no overlays,4,
12,Florida,4097,1,01-14-2005,G,General Pavement Studies,2,1,Rural Principal Arterial - Interstate,2.5,1,AC original surface with no overlays,5.199999809,
12,Florida,3996,1,05-31-1998,G,General Pavement Studies,1,2,Rural Principal Arterial - Other,2.5,1,AC original surface with no overlays,4.300000191,
12,Florida,4107,1,05-03-1998,G,General Pavement Studies,1,2,Rural Principal Arterial - Other,2.5,1,AC original surface with no overlays,2.799999952,
12,Florida,4108,1,10-24-1996,G,General Pavement Studies,2,6,Rural Minor Arterial,2.5,1,AC original surface with no overlays,5.199999809,
12,Florida,9054,1,09-25-1997,G,General Pavement Studies,1,6,Rural Minor Arterial,2.5,1,AC original surface with no overlays,3.900000095,
12,Florida,3995,1,04-16-1997,G,General Pavement Studies,1,11,Urban Principal Arterial - Interstate,2.5,1,AC original surface with no overlays,5.699999809,
12,Florida,1060,1,03-06-2003,G,General Pavement Studies,1,12,Urban Principal Arterial - Other Freeways or Expressways,2.5,1,AC original surface with no overlays,4,
12,Florida,4103,1,06-21-2000,G,General Pavement Studies,1,12,Urban Principal Arterial - Other Freeways or Expressways,2.5,1,AC original surface with no overlays,4,
12,Florida,4099,1,06-28-1992,G,General Pavement Studies,1,14,Urban Other Principal Arterial,2.5,1,AC original surface with no overlays,4.800000191,
